id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo
5733,5736,I-3,CENTRO DE SALUD LA FLOR,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR. PUNO S/N ESQ. CON JR. 25 DE FEBRERO S/N NÚMERO S/N DISTRITO CARABAYLLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0271114,-11.8961113,1286
5734,5737,I-3,VILLA ESPERANZA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR 9 DE OCTUBRE CUADRA 2 S/N - PPJJ VILLA ESPERANZA NÚMERO S/N DISTRITO CARABAYLLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.02200976,-11.88612425,1286
5735,5738,I-2,JORGE LINGAN,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR LOS ALHELIES S/N - 1ER SECTOR EL PROGRESO S/N JR LOS ALHELIES S/N - 1ER SECTOR EL PROGRESO CARABAYLLO LIMA LIMA,-77.0201549,-11.8839462,1286
5736,5739,I-2,PUESTO DE SALUD LUIS ENRIQUE,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV MANUEL PRADO CUADRA 7 S/N - EL PROGRESO 4TO SECTOR NÚMERO S/N DISTRITO CARABAYLLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0095277,-11.8770066,1286
5737,5740,I-2,PUNCHAUCA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,CARRETERA CARRETERA CANTA KM 25.5 - AA.HH. PUNCHAUCA DISTRITO CARABAYLLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.000102,-11.8345612,1286
5738,5741,I-2,PUESTO DE SALUD CHOCAS,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,CARRETERA KM 34 DE LA CARRETERA A CANTA (AV TUPAC AMARU KM 38) DISTRITO CARABAYLLO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9771577,-11.7667755,1286
5739,5742,I-4,MEXICO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV  DIEZ CANSECO Nº 3613 - URB CONDEVILLA DISTRITO SAN MARTIN DE PORRES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0969718,-11.9814397,1315
5740,5743,I-3,CENTRO DE SALUD PERU IV ZONA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV  PERU Nº 3595 - URB. PERU AV  PERU Nº 3595 - URB. PERU SAN MARTIN DE PORRES LIMA LIMA,-77.0861791,-12.030943,1315
5741,5744,I-3,CENTRO DE SALUD CONDEVILLA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR JOSE MARIA CORDOVA 3397 - URB CONDEVILLA DISTRITO SAN MARTIN DE PORRES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0814067,-12.021281,1315
5742,5745,I-3,CENTRO DE SALUD AMAKELLA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"JIRÓN JR. FERMÍN NACARIO Nº 112, COOP. AMAKELLA 2DA. ETAPA JR. FERMÍN NACARIO Nº 112, COOP. AMAKELLA 2DA. ETAPA SAN MARTIN DE PORRES LIMA LIMA",-77.0785731,-12.0179051,1315
5743,5746,I-3,LOS LIBERTADORES,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV LIBERTADOR DON JOSE DE SAN MARTIN Nº 1055 - ASOC. DE VIVIENDA LOS LIBERTADORES DISTRITO SAN MARTIN DE PORRES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0890663,-12.006979,1315
5744,5747,I-3,CENTRO DE SALUD VALDIVIEZO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,CALLE CALLE LAS DALIAS Nº 171 - URB. VALDIVIEZO CALLE LAS DALIAS Nº 171 - URB. VALDIVIEZO SAN MARTIN DE PORRES LIMA LIMA,-77.0660911,-12.0233352,1315
5745,5748,I-3,SAN MARTIN DE PORRES,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,PASAJE PASAJE LEONES Nº 115 - ASOC. PEDREGAL PASAJE LEONES Nº 115 - ASOC. PEDREGAL SAN MARTIN DE PORRES LIMA LIMA,-77.0549341,-12.0345295,1315
5746,5749,I-3,CENTRO DE SALUD PERU III ZONA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV UNIVERSITARIA 181 URB CONDEVILLA DISTRITO SAN MARTIN DE PORRES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0764106,-12.028589,1315
5747,5750,I-2,PUESTO DE SALUD CERRO LA REGLA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"OTROS MZ B LT 11 - AAHH ESPERANZA, COMITÉ 2 MZ B LT 11 - AAHH ESPERANZA, COMITÉ 2 SAN MARTIN DE PORRES LIMA LIMA",-77.1157647,-11.9896127,1315
5748,5751,I-3,CENTRO DE SALUD GUSTAVO LANATTA LUJAN,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR FELIX DE VALLE 505 - URB CONDEVILLA 2DA ETAPA JR FELIX DE VALLE 505 - URB CONDEVILLA 2DA ETAPA SAN MARTIN DE PORRES LIMA LIMA,-77.0732396,-12.0242216,1315
5749,5752,I-3,CAQUETA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV. LOS PROCERES 1051 DISTRITO RIMAC PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0433946,-12.031063,1308
5750,5753,I-3,CENTRO DE SALUD AÑO NUEVO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV FRANCISCO BOLOGNESI CUADRA 6 S/N - PPJJ AÑO NUEVO NÚMERO S/N DISTRITO COMAS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0401525,-11.9231023,1290
5751,5754,I-3,COLLIQUE III ZONA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV SANTA ROSA CUADRA 9 S/N - COLLIQUE 3ERA ZONA S/N AV SANTA ROSA CUADRA 9 S/N - COLLIQUE 3ERA ZONA COMAS LIMA LIMA,-77.026223,-11.9147365,1290
5752,5755,I-4,CENTRO MATERNO INFANTIL LAURA RODRIGUEZ DULANTO DUKSIL,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,CALLE CALLE 30 N° 150 (ANTES MZ R1 LOTE 2- PARCELA A) URB. EL PINAR CALLE 30 N° 150 (ANTES MZ R1 LOTE 2- PARCELA A) URB. EL PINAR COMAS LIMA LIMA,-77.0553621,-11.9160503,1290
5753,5756,I-3,GUSTAVO LANATTA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,CALLE CALLE AREQUIPA S/N CUADRA 2 - COLLIQUE 5TA ZONA S/N CALLE AREQUIPA S/N CUADRA 2 - COLLIQUE 5TA ZONA COMAS LIMA LIMA,-77.0113278,-11.9146878,1290
5754,5757,I-3,CENTRO DE SALUD SANGARARA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR LA UNION (CON CALLE CUZCO) CUADRA 6 S/N  - ASOC. VIVIENDA PABLO VI S/N JR LA UNION (CON CALLE CUZCO) CUADRA 6 S/N  - ASOC. VIVIENDA PABLO VI COMAS LIMA LIMA,-77.04373564,-11.91876401,1290
5755,5758,I-2,PUESTO DE SALUD PRIMAVERA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"CALLE CALLE 8 S/N - ESQ. MZ. Q, COOP. PRIMAVERA Y MZ. Z, LOS CHASQUIS S/N CALLE 8 S/N - ESQ. MZ. Q, COOP. PRIMAVERA Y MZ. Z, LOS CHASQUIS COMAS LIMA LIMA",-77.05634961,-11.92321026,1290
5756,5759,I-2,PUESTO DE SALUD MILAGRO DE JESUS,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"AVENIDA AV. SANTO TORIBIO DE MOGROVEJO, MZ L, LOTE 10 - AAHH MILAGRO DE JESUS DISTRITO COMAS PROVINCIA LIMA DEPARTAMENTO LIMA",-77.0258283,-11.9186782,1290
5757,5760,I-2,PUESTO DE SALUD SAN CARLOS,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR. SAN MATEO CUADRA 3 S/N - ASOCIACION SAN CARLOS S/N JR. SAN MATEO CUADRA 3 S/N - ASOCIACION SAN CARLOS COMAS LIMA LIMA,-77.041319,-11.9086992,1290
5758,5761,I-2,LOS GERANIOS,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR. MARIANO CONDORCANQUI S/N NÚMERO S/N DISTRITO COMAS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0434893,-11.8961278,1290
5759,5762,I-2,PUESTO DE SALUD 11 DE JULIO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,OTROS ASENTAMIENTO HUMANO 11 DE JULIO S/N NÚMERO S/N DISTRITO COMAS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.037336,-11.930841,1290
5760,5763,I-3,CENTRO DE SALUD CARLOS A. PROTZEL,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV BELAUNDE ESTE - 2DA CUADRA S/N NÚMERO S/N DISTRITO COMAS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0471573,-11.9402602,1290
5761,5764,I-3,CARMEN ALTO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV 3 DE OCTUBRE 1990 AAHH CARMEN ALTO SN COMAS LIMA LIMA,-77.0308479,-11.945087,1290
5762,5765,I-3,CARMEN MEDIO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR. CAHUIDE S/N CDRA 8 CARMEN MEDIO S/N JR. CAHUIDE S/N CDRA 8 CARMEN MEDIO COMAS LIMA LIMA,-77.0401638,-11.9412286,1290
5763,5766,I-3,SANTA LUZMILA I,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV GUILLERMO DE LA FUENTE CUADRA 2 S/N - URB SANTA LUZMILA 1° ETAPA NÚMERO S/N DISTRITO COMAS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0636501,-11.9416876,1290
5765,5768,I-3,CARLOS PHILLIPS,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,CALLE CALLE BRASILIA CUADRA 1 S/N - URB EL PARRAL S/N CALLE BRASILIA CUADRA 1 S/N - URB EL PARRAL COMAS LIMA LIMA,-77.057458,-11.959672,1290
5766,5769,I-3,HUSARES DE JUNIN,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR HUSARES DE JUNIN S/N - URB HUAQUILLAY 2DA ETAPA S/N JR HUSARES DE JUNIN S/N - URB HUAQUILLAY 2DA ETAPA COMAS LIMA LIMA,-77.0518657,-11.9361947,1290
5767,5770,I-2,SEÑOR DE LOS MILAGROS,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV 3 DE OCTUBRE CUADRA 4 - VILLA SEÑOR DE LOS MILAGROS DISTRITO COMAS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0452168,-11.9415104,1290
5768,5771,I-1,PUESTO DE SALUD LA PASCANA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR. ABRAHAM VALDELOMAR CDRA. 2 S/N S/N JR. ABRAHAM VALDELOMAR CDRA. 2 S/N COMAS LIMA LIMA,-77.0462082,-11.9364032,1290
5769,5772,I-4,CENTRO MATERNO INFANTIL SANTA LUZMILA II,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV. 22 DE AGOSTO N° 1001- URB SANTA LUZMILA II ETAPA DISTRITO COMAS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.05898579,-11.94712492,1290
5770,5773,I-3,CLORINDA MALAGA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,PASAJE PSJE. ATAHUALPA S/N - VILLA CLORINDA S/N PSJE. ATAHUALPA S/N - VILLA CLORINDA COMAS LIMA LIMA,-77.0541862,-11.9661638,1290
5783,5786,I-3,ERMITAÑO ALTO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"AVENIDA AV LOS JAZMINES S/N, PARADERO 8 - ERMITAÑO ALTO S/N AV LOS JAZMINES S/N, PARADERO 8 - ERMITAÑO ALTO INDEPENDENCIA LIMA LIMA",-77.0449556,-11.9992218,1292
5784,5787,I-3,ERMITAÑO BAJO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR. LOS PINOS S/N S/N JR. LOS PINOS S/N INDEPENDENCIA LIMA LIMA,-77.0546443,-11.9977277,1292
5785,5788,I-2,EL CARMEN,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR 23 DE DICIEMBRE S/N - AAHH VILLA EL CARMEN S/N JR 23 DE DICIEMBRE S/N - AAHH VILLA EL CARMEN INDEPENDENCIA LIMA LIMA,-77.0476186,-12.0171219,1292
5786,5789,I-2,PUESTO DE SALUD LOS QUECHUAS,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR LOS QUECHUAS CUADRA 2 S/N - 3ER SECTOR INDEPENDENCIA S/N JR LOS QUECHUAS CUADRA 2 S/N - 3ER SECTOR INDEPENDENCIA INDEPENDENCIA LIMA LIMA,-77.04242329,-11.99041254,1292
5788,5791,I-4,CENTRO MATERNO INFANTIL TAHUANTINSUYO BAJO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV. CHINCHAYSUYO CUADRA 4 - URB. TAHUANTINSUYO AV. CHINCHAYSUYO CUADRA 4 - URB. TAHUANTINSUYO INDEPENDENCIA LIMA LIMA,-77.0529828,-11.9784658,1292
5789,5792,I-3,TAHUANTINSUYO ALTO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV HERMANOS AYAR 2DA CUADRA S/N - TAHUANTINSUYO ALTO 3ERA ZONA S/N AV HERMANOS AYAR 2DA CUADRA S/N - TAHUANTINSUYO ALTO 3ERA ZONA INDEPENDENCIA LIMA LIMA,-77.0396598,-11.979306,1292
5790,5793,I-3,TUPAC AMARU,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"JIRÓN JR CAJABAMBA S/N, 3ERA CUADRA - URB POPULAR TUPAC AMARU S/N JR CAJABAMBA S/N, 3ERA CUADRA - URB POPULAR TUPAC AMARU INDEPENDENCIA LIMA LIMA",-77.045511,-11.9722396,1292
5792,5795,I-2,VICTOR RAUL HAYA DE LA TORRE,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,CALLE CALLE A MZ 2 LOTE 3 - ASOC VIV VICTOR RAUL HAYA DE LA TORRE CALLE A MZ 2 LOTE 3 - ASOC VIV VICTOR RAUL HAYA DE LA TORRE INDEPENDENCIA LIMA LIMA,-77.05723162,-11.97752131,1292
5793,5796,I-2,PUESTO DE SALUD JOSE OLAYA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"AVENIDA AV 4 DE NOVIEMBRE S/N, AAHH JOSE OLAYA - URB PAYET S/N AV 4 DE NOVIEMBRE S/N, AAHH JOSE OLAYA - URB PAYET INDEPENDENCIA LIMA LIMA",-77.03903164,-11.9674879,1292
5794,5797,I-3,CENTRO DE SALUD SAN MARTIN DE PORRES CONFRATERNIDAD,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"AVENIDA MZ 143-A S/N, AV BETANCOURT - AAHH SAN MARTIN DE PORRES S/N MZ 143-A S/N, AV BETANCOURT - AAHH SAN MARTIN DE PORRES LOS OLIVOS LIMA LIMA",-77.0802984,-11.9597024,1297
5795,5798,I-3,CENTRO DE SALUD LAURA CALLER,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,CALLE MZ 10-A LOTE S/N - ZONA 5 AAHH LAURA CALLER NÚMERO S/N DISTRITO LOS OLIVOS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0776032,-11.970078,1297
5796,5799,I-4,CENTRO MATERNO INFANTIL JUAN PABLO II,LIMA DIRIS NORTE,RED DE SALUD LIMA NORTE IV,CALLE CALLE 28 S/N AA.HH. JUAN PABLO II NÚMERO S/N DISTRITO LOS OLIVOS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.07798163,-11.95309937,1297
5797,5800,I-3,CENTRO DE SALUD ENRIQUE MILLA OCHOA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"OTROS MZ 124, LT S/N - COMITÉ 8, AAHH ENRIQUE MILLA OCHOA NÚMERO S/N DISTRITO LOS OLIVOS PROVINCIA LIMA DEPARTAMENTO LIMA",-77.0822282,-11.9565532,1297
5798,5801,I-3,LOS OLIVOS DE PRO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"OTROS MZ H1 LOTE S/N, SECTOR A - AAHH LOS OLIVOS DE PRO NÚMERO S/N DISTRITO LOS OLIVOS PROVINCIA LIMA DEPARTAMENTO LIMA",-77.0843759,-11.9510556,1297
5799,5802,I-3,CENTRO DE SALUD LOS OLIVOS,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"JIRÓN JR SANTA CRUZ DE PACHACUTEC, 2DA CUADRA S/N - URB PANAMERICANA NORTE S/N JR SANTA CRUZ DE PACHACUTEC, 2DA CUADRA S/N - URB PANAMERICANA NORTE LOS OLIVOS LIMA LIMA",-77.06562916,-11.99289373,1297
5800,5803,I-3,CENTRO DE SALUD PRIMAVERA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,OTROS MZ F LOTE 11 URB PRIMAVERA MZ F LOTE 11 URB PRIMAVERA LOS OLIVOS LIMA LIMA,-77.07378,-12.0092839,1297
5801,5804,I-3,VIRGEN DEL PILAR DE NARANJAL,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV. LOS ALISOS Nº 397 - URB. NARANJAL AV. LOS ALISOS Nº 397 - URB. NARANJAL SAN MARTIN DE PORRES LIMA LIMA,-77.062838,-11.9838236,1315
5802,5805,I-3,MESA REDONDA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR SANCHEZ CERRO 295 - URB MESA REDONDA JR SANCHEZ CERRO 295 - URB MESA REDONDA SAN MARTIN DE PORRES LIMA LIMA,-77.0575097,-12.0043022,1315
5803,5806,I-3,CENTRO DE SALUD VILLA DEL NORTE,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,OTROS MZ V LOTE 05 - URB.VILLA DEL NORTE MZ V LOTE 05 - URB.VILLA DEL NORTE LOS OLIVOS LIMA LIMA,-77.0694925,-11.9710213,1297
